"NO","v1","v2","r2","v3","r3","","","","","",""
"1","1","3","0.125","3","0.083333","","","","","",""
"2","1","3","0.166667","2.4","0.166667","","","","","",""
"3","1","1.8","0.083333","3","0.166667","","","","","",""
"4","1","2.25","0.166667","2","0.125","","","","","",""
"5","1","2.25","0.083333","2","0.125","","","","","",""
"6","1","3","0.125","2.4","0.083333","","","","","",""
"7","1","2.25","0.208333","4","0.083333","","","","","",""
"8","1","3","0.166667","2.4","0.125","","","","","",""
"9","1","3","0.208333","2.4","0.166667","","","","","",""
"10","1","1.5","0.25","2","0.208333","","","","","",""
"11","1","2.25","0.166667","2.4","0.166667","","","","","",""
"12","1","3","0.166667","2.4","0.208333","","","","","",""
"13","1","2.25","0.166667","2","0.166667","","","","","",""
"14","1","1.8","0.208333","3","0.166667","","","","","",""
"15","1","2.25","0.25","4","0.291667","","","","","",""
"16","1","2.25","0.166667","3","0.291667","","","","","",""
"17","1","1.8","0.166667","2.4","0.333333","","","","","",""
"18","1","3","0.208333","4","0.125","","","","","",""
"19","1","2.25","0.208333","4","0.166667","","","","","",""
"20","1","3","0.125","3","0.166667","","","","","",""
"21","1","2.25","0.166667","3","0.25","","","","","",""
"22","1","1.8","0.291667","3","0.083333","","","","","",""
"23","1","3","0.166667","4","0.125","","","","","",""
"24","1","1.5","0.333333","2.4","0.208333","","","","","",""
"25","1","2.25","0.208333","3","0.291667","","","","","",""
"26","1","3","0.208333","3","0.208333","","","","","",""
"27","1","2.25","0.166667","2.4","0.125","","","","","",""
"28","1","3","0.25","3","0.208333","","","","","",""
"29","1","1.8","0.291667","4","0.166667","","","","","",""
"30","1","2.25","0.166667","4","0.166667","","","","","",""
"31","1","3","0.125","3","0.083333","","","","","",""
"32","1","2.25","0.166667","3","0.083333","","","","","",""
"33","1","2.25","0.0833333","2.4","0.208333","","","","","",""
"34","1","3","0.125","2","0.166667","","","","","",""
"35","1","2.25","0.166667","2.4","0.208333","","","","","",""
"36","1","3","0.166667","2.4","0.25","","","","","",""
"37","1","1.8","0.083333","2.4","0.333333","","","","","",""
"38","1","2.25","0.166667","4","0.208333","","","","","",""
"39","1","3","0.166667","2.4","0.25","","","","","",""
"40","1","1.5","0.25","3","0.166667","","","","","",""
"41","1","2.25","0.125","4","0.291667","","","","","",""
"42","1","3","0.166667","4","0.125","","","","","",""
"43","1","1.8","0.25","2.4","0.166667","","","","","",""
"44","1","2.25","0.208333","4","0.166667","","","","","",""
"45","1","3","0.166667","2.4","0.25","","","","","",""
"46","1","1.8","0.083333","3","0.125","","","","","",""
"47","1","3","0.208333","4","0.125","","","","","",""
"48","1","2.25","0.166667","4","0.125","","","","","",""
"49","1","2.25","0.208333","3","0.208333","","","","","",""
"50","1","3","0.166667","4","0.166667","","","","","",""
"51","1","2.25","0.083333","3","0.083333","","","","","",""
"52","1","2.25","0.125","2.4","0.166667","","","","","",""
"53","1","2.25","0.166667","2","0.166667","","","","","",""
"54","1","1.8","0.208333","2.4","0.166667","","","","","",""
"55","1","1.5","0.083333","3","0.166667","","","","","",""
"56","1","1.8","0.083333","4","0.083333","","","","","",""
"57","1","2.25","0.166667","4","0.083333","","","","","",""
"58","1","3","0.166667","3","0.166667","","","","","",""
"59","1","1.5","0.25","3","0.25","","","","","",""
"60","1","2.25","0.125","2.4","0.291667","","","","","",""
"61","1","3","0.166667","4","0.166667","","","","","",""
"62","1","2.25","0.208333","4","0.083333","","","","","",""
"63","1","3","0.125","2.4","0.166667","","","","","",""
"64","1","2.25","0.166667","3","0.125","","","","","",""
"65","1","1.8","0.291667","3","0.166667","","","","","",""
"66","1","3","0.166667","2","0.125","","","","","",""
"67","1","1.5","0.333333","2","0.125","","","","","",""
"68","1","2.25","0.208333","2.4","0.083333","","","","","",""
"69","1","3","0.208333","4","0.083333","","","","","",""
"70","1","1.285714","0.166667","2.4","0.125","","","","","",""
"71","1","3","0.166667","2.4","0.125","","","","","",""
"72","1","1.285714","0.166667","4","0.083333","","","","","",""
"73","1","2.25","0.166667","2","0.083333","","","","","",""
"74","1","1.8","0.208333","2","0.166667","","","","","",""
"75","1","1.285714","0.208333","3","0.166667","","","","","",""
"76","1","1.285714","0.166667","2","0.25","","","","","",""
"77","1","2.25","0.25","2","0.125","","","","","",""
"78","1","1.5","0.25","3","0.166667","","","","","",""
"79","1","1.5","0.208333","3","0.083333","","","","","",""
"80","1","1.5","0.125","3","0.208333","","","","","",""
"81","1","3","0.125","4","0.166667","","","","","",""
"82","1","3","0.166667","3","0.083333","","","","","",""
"83","1","1.5","0.333333","2.4","0.166667","","","","","",""
"84","1","2.25","0.208333","2.4","0.208333","","","","","",""
"85","1","3","0.208333","3","0.166667","","","","","",""
"86","1","2.25","0.166667","4","0.125","","","","","",""
"87","1","3","0.25","2","0.125","","","","","",""
"88","1","1.8","0.291667","2","0.125","","","","","",""
"89","1","2.25","0.166667","2","0.083333","","","","","",""
"90","1","3","0.208333","2","0.083333","","","","","",""
"91","1","1.285714","0.166667","3","0.208333","","","","","",""
"92","1","1.285714","0.333333","3","0.166667","","","","","",""
"93","1","2.25","0.166667","3","0.125","","","","","",""
"94","1","3","0.125","2.4","0.208333","","","","","",""
"95","1","2.25","0.166667","3","0.291667","","","","","",""
"96","1","1.8","0.083333","3","0.208333","","","","","",""
"97","1","2.25","0.166667","2.4","0.125","","","","","",""
"98","1","3","0.166667","3","0.208333","","","","","",""
"99","1","1.5","0.25","2.4","0.166667","","","","","",""
"100","1","1.5","0.166667","2.4","0.166667","","","","","",""
"101","1","1.8","0.25","3","0.208333","","","","","",""
"102","1","2.25","0.208333","3","0.166667","","","","","",""
"103","1","3","0.208333","2","0.125","","","","","",""
"104","1","1.285714","0.166667","2","0.125","","","","","",""
"105","1","1.285714","0.333333","2.4","0.083333","","","","","",""
"106","1","2.25","0.208333","2.4","0.166667","","","","","",""
"107","1","1.5","0.083333","3","0.083333","","","","","",""
"108","1","1.8","0.083333","2.4","0.166667","","","","","",""
"109","1","2.25","0.166667","3","0.166667","","","","","",""
"110","1","3","0.166667","2","0.125","","","","","",""
"111","1","2.25","0.0833333","2","0.125","","","","","",""
"112","1","3","0.125","2.4","0.083333","","","","","",""
"113","1","2.25","0.166667","3","0.25","","","","","",""
"114","1","1.8","0.083333","2.4","0.291667","","","","","",""
"115","1","2.25","0.166667","4","0.166667","","","","","",""
"116","1","2.25","0.083333","2.4","0.208333","","","","","",""
"117","1","1.285714","0.166667","3","0.291667","","","","","",""
"118","1","2.25","0.166667","3","0.208333","","","","","",""
"119","1","1.285714","0.208333","2.4","0.125","","","","","",""
"120","1","2.25","0.166667","2.4","0.25","","","","","",""
"121","1","3","0.208333","3","0.125","","","","","",""
"122","1","1.285714","0.166667","4","0.125","","","","","",""
"123","1","1.285714","0.333333","2.4","0.166667","","","","","",""
"124","1","2.25","0.208333","2.4","0.208333","","","","","",""
"125","1","3","0.166667","2","0.166667","","","","","",""
"126","1","1.8","0.25","3","0.166667","","","","","",""
"127","1","2.25","0.208333","2.4","0.208333","","","","","",""
"128","1","1.285714","0.166667","3","0.166667","","","","","",""
"129","1","1.285714","0.166667","4","0.125","","","","","",""
"130","1","2.25","0.083333","2","0.208333","","","","","",""
"131","1","1.5","0.083333","2.4","0.166667","","","","","",""
"132","1","1.5","0.083333","2.4","0.208333","","","","","",""
"133","1","1.5","0.208333","2","0.166667","","","","","",""
"134","1","3","0.125","3","0.166667","","","","","",""
"135","1","2.25","0.166667","3","0.166667","","","","","",""
"136","1","1.8","0.291667","2","0.125","","","","","",""
"137","1","3","0.166667","2","0.125","","","","","",""
"138","1","3","0.166667","2.4","0.083333","","","","","",""
"139","1","2.25","0.0833333","4","0.083333","","","","","",""
"140","1","2.25","0.208333","3","0.166667","","","","","",""
"141","1","3","0.208333","2","0.25","","","","","",""
"142","1","2.25","0.166667","2","0.125","","","","","",""
"143","1","3","0.25","3","0.166667","","","","","",""
"144","1","1.8","0.291667","3","0.083333","","","","","",""
"145","1","1.285714","0.166667","4","0.083333","","","","","",""
"146","1","3","0.083333","2.4","0.166667","","","","","",""
"147","1","2.25","0.166667","3","0.125","","","","","",""
"148","1","1.8","0.291667","3","0.166667","","","","","",""
"149","1","3","0.166667","2.4","0.166667","","","","","",""
"150","1","1.5","0.333333","4","0.166667","","","","","",""
"151","1","2.25","0.166667","2.4","0.25","","","","","",""
"152","1","3","0.166667","3","0.125","","","","","",""
"153","1","2.25","0.0833333","2","0.208333","","","","","",""
"154","1","3","0.125","2.4","0.166667","","","","","",""
"155","1","2.25","0.208333","2.4","0.208333","","","","","",""
"156","1","3","0.208333","2","0.125","","","","","",""
"157","1","2.25","0.166667","2.4","0.083333","","","","","",""
"158","1","3","0.25","3","0.25","","","","","",""
"159","1","3","0.125","3","0.25","","","","","",""
"160","1","1.285714","0.166667","3","0.083333","","","","","",""
"161","1","1.285714","0.166667","2.4","0.333333","","","","","",""
"162","1","2.25","0.083333","4","0.208333","","","","","",""
"163","1","1.5","0.083333","2.4","0.25","","","","","",""
"164","1","1.5","0.083333","3","0.166667","","","","","",""
"165","1","3","0.166667","2","0.125","","","","","",""
"166","1","3","0.208333","2.4","0.083333","","","","","",""
"167","1","2.25","0.166667","4","0.083333","","","","","",""
"168","1","3","0.25","2.4","0.125","","","","","",""
"169","1","1.8","0.291667","2.4","0.125","","","","","",""
"170","1","1.285714","0.166667","3","0.083333","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
